CADDID,PlaceID,FacilityName,Latitude,Longitude,StreetAddress,City,County,ZipCode,RegionalWaterBoard
10080,209329,Moonstone Dairy,36.283,-119.4796,1305 Iona Avenue,Hanford,Kings,93230,5F
10081,209367,Bess Dairy,40.5333,-124.0572,5798 Highway 36,Carlotta,Humboldt,95528,1
10082,209495,Silva Dairy Farms,37.309,-120.8963,1497 Edminster Road,Stevinson,Merced,95374,5S
10083,209513,"Big De Dairy, LP",36.6037,-119.8436,2947 West Manning Avenue,Fresno,Fresno,93706,5F
10084,209569,William John Jongsma Dairy,35.9993,-119.2301,11598 Road 152,Pixley,Tulare,93256,5F
10085,209582,IVY STAR Dairy,37.0718,-120.9288,14903 South Volta Road,Los Banos,Merced,93635,5S
10086,209673,Jimi Valov Family Trust,36.2252,-119.3855,2865 West Prosperity Avenue,Tulare,Tulare,93274,5F
10087,209965,George Boere Family Dairy,33.678,-117.1366,30490 Briggs Road,Menifee,Riverside,92584,8
10088,209966,Boersma Dairy,33.8338,-117.0554,4050 Ramona Expressway,San Jacinto,Riverside,92582,8
10089,209990,Bollema Dairy - Schaefer,34.0039,-117.6249,8261 Schaefer Avenue,Ontario,San Bernardino,91761,8
10090,210036,Still Water Ranch LLC,36.3987,-119.5248,5001 4th Avenue,Hanford,Kings,93230,5F
10091,210049,"Joe Borba Dairy, Inc.",37.4609,-120.9497,3419 South Moffett Road,Turlock,Stanislaus,95380,5S
10092,210069,F&L Barcellos Dairy #2/White Gold Dairy,36.0636,-119.4037,7585 Avenue 152,Tipton,Tulare,93272,5F
11908,210070,Feedlot APN 002-240-035,36.4021,-119.7278,15064  Excelsior,Hanford,Kings,93230,5F
10093,210071,Borges Dairy,36.0868,-119.2684,16371 Road 136,Tipton,Tulare,93272,5F
10094,210073,Borges Farms,37.5658,-121.0882,5148 West Grayson Road,Modesto,Stanislaus,95358,5S
10095,210098,John Bos Dairy,37.6816,-120.9122,4524 Milnes Road,Modesto,Stanislaus,95357,5S
10096,210100,Bosch Dairy,34.0074,-117.6065,13567 Whispering Lakes Lane,Ontario,San Bernardino,91761,8
10097,210103,Middle Ranch,36.0762,-119.2622,13805 Avenue 160,Tipton,Tulare,93272,5F
10098,210104,Rancho Sierra Vista Dairy,36.3881,-119.3303,32866 Road 108,Visalia,Tulare,93291,5F
11680,210106,Pixley Dairy,35.9968,-119.4127,6801 Avenue 120,Tipton,Tulare,93272,5F
10099,210107,Bosman Dairy,36.0457,-119.4617,4805 Avenue 144,Tipton,Tulare,93272,5F
10100,210122,Rancho the Fury,33.9833,-117.6097,8920 Merrill Avenue,Ontario,San Bernardino,91762,8
10101,210227,Elbow Creek Dairy,36.4175,-119.2983,34537 Road 124,Visalia,Tulare,93291,5F
11871,210234,Brandenberg Feed Yard,32.6794,-115.6125,903 CA 98,Calexico,Imperial,92231,7
11869,210241,Brandt Cattle Company,33.1635,-115.5625,7015  Brandt Road,Calipatria,Imperial,92233,7
10102,210254,FM Ranch #5,36.0608,-119.3959,14913 Road 80,Tipton,Tulare,93727,5F
10103,210255,Wagner Dairy #2,37.8282,-121.0546,14981 S Van Allen Rd,Escalon,San Joaquin,95320,5S
10104,210257,Westlake One Trust Facility,36.3298,-119.8346,9900 21st Avenue,Lemoore,Kings,93245,5F
10105,210266,Rainimade Dairy #2,36.4134,-119.2954,34308 Road 124,Visalia,Tulare,93292,5F
10106,210275,Mike Brazil Dairy,40.5608,-124.1732,5736 Grizzly Bluff Road,Ferndale,Humboldt,95536,1
10107,210276,Brazil Dairy,38.2384,-122.7467,3700 Spring Hill Rd.,Petaluma,Sonoma,94952,2
10108,210279,MB-Lucky Lady Farms,37.5511,-121.0099,1306 West Keyes Road,Modesto,Stanislaus,95358,5S
10109,210315,Brentwood Farms Dairy,39.8277,-122.1204,24540 Clark Avenue,Orland (Capay),Tehama,95963,5R
10110,210524,Brooks & Erman Ranch,38.2216,-121.245,25873 North Kennefick Road,Galt,San Joaquin,95632,5S
10111,210558,Bluegrass Dairy,36.287,-119.225,1260 South Mariposa Road,Visalia,Tulare,93291,5F
10112,210574,Mello D Jerseys,36.3426,-119.7255,14803 Grangeville Boulevard,Hanford,Kings,93230,5F
10113,210702,Buena Vista Dairy,36.1826,-119.4597,5038 Avenue 216,Tulare,Tulare,93274,5F
10114,210745,Bullfrog Farms,32.8691,-115.7424,2338 Payne Road,Seeley,Imperial,92273,7
10115,210937,SBS Ag Heifer Ranch,36.1652,-119.4592,20795 Road 52,Tulare,Tulare,93274,5F
10116,210941,Nick & Amber Buttke Dairy,38.3328,-122.7945,6033 Blank Road,Sebastopol,Sonoma,95472,1
10117,210965,R & S Dairy LLC,37.8132,-121.0141,24051 East Arthur Road,Escalon,San Joaquin,95320,5S
10118,211763,Borba & Sons Dairy,36.0084,-119.2815,13010 Avenue 120,Pixley,Tulare,93256,5F
10119,212191,Borba Brothers Dairy,36.2939,-119.6962,13243 Houston Avenue,Hanford,Kings,93230,5F
10120,212246,Maria C. Mendonca Living Trust,36.4089,-119.8213,1253 West Lewiston Avenue,Riverdale,Fresno,93656,5F
10121,212299,C. Mattos & Sons Dairy,36.2158,-119.5296,17800 4th Avenue,Hanford,Kings,93230,5F
10122,212314,C.G. Van Vliet Dairy,37.7932,-120.9392,30158 East Hwy 120,Escalon,San Joaquin,95320,5S
10123,212474,Santa Anita Dairy,36.2119,-119.5362,4356 Kansas Avenue,Hanford,Kings,93230,5F
10124,212529,Cal-Denier Dairy LLC,38.3367,-121.2871,10715 Arno Road,Galt,Sacramento,95632,5S
10125,212854,Hanford Armona Feedlot/Fagundes & Sons Jerseys,36.3205,-119.7217,10482 14 1/2 Avenue,Lemoore,Kings,93245,5F
11861,212874,Cameiro Heifer Ranch,32.927,-115.5551,195 West Carey Road,Brawley,Imperial,92227,7
10126,213019,California Polytechnic State University,35.3073,-120.6724,1 Grand Avenue,San Luis Obispo,San Luis Obispo,93405,3
10127,213221,Rancho Del Sol,36.2792,-119.6186,13301 9th Avenue,Hanford,Kings,93230,5F
10128,213223,Cardoso Dairy,38.2402,-121.3036,10380 Kost Road,Galt,Sacramento,95632,5S
11796,213227,Nunes & Sons Feedlot (Formerly Tony P. Cardoza),36.2827,-119.2978,12329 Avenue 271,Visalia,Tulare,93291,5F
10129,213230,Ritchie & Ritchie Dairy,35.7019,-119.2763,12421 Melcher Road,Mcfarland,Kern,93250,5F
10130,213397,Carvalho Dairy,37.4717,-120.9982,11443 Crows Landing Road,Crows Landing,Stanislaus,95313,5S
10131,213425,Dixie Creek South Dairy,36.2279,-119.5086,24116 Road 28,Tulare,Tulare,93274,5F
10132,213447,Vander Eyk & Son Dairy Complex,35.9711,-119.3956,9993 Road 80,Pixley,Tulare,93256,5F
10133,213570,Goyenetche Dairy #2 Ramona,33.824,-117.0054,2441 Ramona Expressway,San Jacinto,Riverside,92582,8
10134,213836,Doornenbal Dairy #3,37.8277,-121.0737,19325 Lone Tree Road,Escalon,San Joaquin,95320,5S
11905,214303,Chiapetta Dairy,37.8666,-121.0553,3603  Chileno Valley,Petaluma,Sonoma,94952,2
10135,214396,Chino Livestock Market Inc,33.9976,-117.627,8148 Edison Avenue,Ontario,San Bernardino,91762,8
10136,214430,Chris & John Jongsma Dairy,36.0205,-119.2205,15759 Avenue 128,Tipton,Tulare,93272,5F
10137,214433,Chris De Jong Dairy,36.0575,-119.1972,14763 Road 168,Porterville,Tulare,93257,5F
10138,214548,Ed Machado Dairy,37.7194,-121.1991,8940 East Melton Road,Manteca,San Joaquin,95337,5S
10139,214710,Claribel Farms,37.711,-120.7921,11043 Claribel Road,Oakdale,Stanislaus,95361,5S
11797,214720,Clark Feedlot,36.261,-119.6368,14541  10th Avenue,Hanford,Kings,93230,5F
10140,214738,"Clarot Farms, Inc.",37.5314,-121.0261,7260 Carpenter Road,Modesto,Stanislaus,95358,5S
11798,214946,"Coalinga Feed Yard, Inc.",36.2229,-120.3527,35244  Oil City Road,Coalinga,Fresno,93210,5F
10141,215043,L & L Morais Dairy,36.1362,-119.4073,7330 Avenue 190,Tulare,Tulare,93274,5F
10142,215045,Elk Creek Dairy,36.1164,-119.3579,17993 ROAD 96,Tulare,Tulare,93274,5F
10143,215048,J & F Coelho Dairy,36.6534,-119.8713,5614 South Blythe Avenue,Fresno,Fresno,93706,5F
10144,215049,Coelho Farms LP,37.0986,-120.4423,5615 Ave 24,Chowchilla,Madera,93610,5S
10145,215050,Coelho Farms Dairy,36.4194,-119.8934,21663 South Cornelia Avenue,Riverdale,Fresno,93656,5F
10146,215053,Coelho's Clover Dairy,37.6831,-120.9076,3100 DeWitt Road,Modesto,Stanislaus,95357,5S
10147,215072,Outlaw Dairy,36.1378,-119.2883,12735 Avenue 192,Tulare,Tulare,93274,5F
10148,215696,Corcoran Prison Dairy,36.0597,-119.5548,4001 King Avenue,Corcoran,Kings,93212,5F
10149,215702,Corda and Sons Dairy,38.2777,-122.6606,5493 Redwood Highway South,Petaluma,Sonoma,94952,2
10150,215726,De Jong Dairy Farms Inc.,36.4565,-119.2802,13076 Avenue 368,Visalia,Tulare,93292,5F
10151,215842,D.V. Silveira and Son Dairy,37.1036,-120.9007,22578 West Henry Miller Road,Los Banos,Merced,95635,5S
10152,215853,Costa View Farms,36.9936,-120.279,16800 Road 15,Madera,Madera,93637,5F
10153,215856,L & L Pires Dairy,37.6379,-121.1353,7713 Maze Boulevard,Modesto,Stanislaus,95358,5S
10154,215896,Duhalde Dairy #2,33.976,-117.6129,8819 Remington Avenue,Chino,San Bernardino,91710,8
10155,215929,Countryside Dairy,36.1685,-119.4944,20991 Road 36,Tulare,Tulare,93274,5F
10156,215959,Couto Dairy,39.5381,-122.1216,1980 County Rd QQ,Willows,Glenn,95988,5S
10157,215960,Couto Dairy,36.4752,-119.8839,4870 West Davis Avenue,Riverdale,Fresno,93656,5F
10158,216354,Tony Cox & Family Dairy,36.4222,-119.6878,3594 12 3/4 Avenue,Hanford,Kings,93230,5F
10159,216361,Cunningham Dairy,38.4114,-122.7011,3018 Petaluma Hill Road,Santa Rosa,Sonoma,95404,1
10160,216429,Cuyama Dairy,34.8986,-119.5537,1315 Foothill Road,Maricopa,Santa Barbara,93252,3
10161,216513,A & C Vieira Dairy,38.633,-121.9243,31505 County Rd 26,Winters,Yolo,95694,5S
10162,216523,Poplar Lane Dairy,36.2249,-119.554,5387 Kent Avenue,Hanford,Kings,93230,5F
10163,217081,Cartmill Ranch Feedlot,36.2421,-119.4552,5182 Avenue 248,Tulare,Tulare,93274,5F
10164,217464,Circle LC Corp.,38.2963,-122.5864,3272 Adobe Road,Petaluma,Sonoma,94954,2
10165,217948,Cloverdale Dairy,36.1896,-119.6504,19142 10 1/2 Avenue,Hanford,Kings,93230,5F
10166,218037,Coderview Holsteins Dairy,36.9822,-120.5205,40396 Valeria,Dos Palos,Fresno,93620,5F
10167,218302,Contente & Company Dairy,36.3581,-119.7284,7900 15th Avenue,Hanford,Kings,93230,5F
10168,218468,Avalon Dairy Farms,35.7114,-119.4205,27125 Pond Road,Wasco,Kern,93280,5F
10169,218890,Dream Dairy #1 (Former Silva & Sons #2 Dairy),36.4033,-119.5779,6700 Excelsior Avenue,Hanford,Kings,93230,5F
10170,218891,Ken Van Foeken Dairy #2,37.4248,-120.9046,9375 North Washington Road,Hilmar,Merced,95324,5S
10171,218915,Mattos Dairy #4,36.2111,-119.5391,4555 Kansas Avenue,Hanford,Kings,93230,5F
10172,218919,D & V Dairy,36.0499,-119.2188,15625 Avenue 144,Tipton,Tulare,93272,5F
10173,218933,Caton Farms Dairy,37.822,-120.9609,15635 South Steinegul Road,Escalon,San Joaquin,95320,5S
10174,218979,Lopes Dairy,36.2695,-119.7926,18682 Idaho Avenue,Lemoore,Kings,93245,5F
10175,218992,"T & L Family Dairy, LLC",37.4816,-120.7896,1131 Story Road,Turlock,Stanislaus,95380,5S
10176,218996,Luis A Pimentel Dairy,38.3442,-121.4173,11375 Bruceville Road,Elk Grove,Sacramento,95757,5S
10177,219017,Dairyland Farms Dairy,36.0784,-119.2284,15982 Road 152,Tipton,Tulare,93272,5F
10178,219037,Matos Dairy,37.2856,-120.5929,100 South Quinley Avenue,Merced,Merced,95341,5S
10179,219038,Dallape Dairy,33.9187,-117.5923,2877 River Road,Norco,Riverside,92860,8
10180,219054,Collenberg Dairy,40.9139,-124.1033,1555 Mad River Road,Arcata,Humboldt,95521,1
10181,219062,Silacci Dairy,38.2281,-122.5691,4349 Lakeville,Petaluma,Sonoma,94954,2
10182,219081,Diamond D LLC Dairy,36.2688,-119.6261,9601 Idaho Avenue,Hanford,Kings,93230,5F
10183,219125,Darren & Karen Hansen Dairy,40.5661,-124.2078,3784 Grizzly Bluff Road Lane,Ferndale,Humboldt,95536,1
10184,219199,P & D Dairy #3,33.9999,-117.6368,13905 Bon View Avenue,Ontario,San Bernardino,91762,8
10185,219285,Legend Dairy Farm #1,34.0166,-117.6054,9155 Riverside Drive,Ontario,San Bernardino,91761,8
10186,219286,Legend Dairy Farm,34.0093,-117.6195,13456 Walker Avenue,Ontario,San Bernardino,91761,8
10187,219287,De Boer Dairy,36.0936,-119.2389,14976 Avenue 168,Tulare,Tulare,93274,5F
10188,219290,J-D Brasil Dairy,37.4798,-120.9151,5600 Clayton Road,Turlock,Stanislaus,95380,5S
10189,219292,De Carvalho Brothers Dairy,37.6376,-121.1474,8342 Maze Boulevard,Modesto,Stanislaus,95358,5S
10190,219293,"The Dairy, Inc.",36.3848,-119.8363,6240 21st Avenue,Lemoore,Kings,96245,5F
10191,219305,Frank Borba & Sons Dairy #3,36.047,-119.197,14153 Road 168,Porterville,Tulare,93257,5F
10192,219319,De Ruyter Dairy,37.7012,-121.2453,27947 South Airport Way,Manteca,San Joaquin,95337,5S
10193,219321,Mcree East Dairy,37.0107,-120.3311,11812 Avenue 18,Chowchilla,Madera,93610,5F
10194,219323,Van Exel Dairy #2,38.1568,-121.3971,18948 North Thornton Road,Lodi,San Joaquin,95242,5S
10195,219329,Peter de Visser Dairy,37.8419,-121.0495,21268 East Avena Road,Escalon,San Joaquin,95320,5S
10196,219390,C & A Holsteins (Dairy),35.9419,-119.3978,7957 Avenue 84,Pixley,Tulare,93256,5F
10197,219426,Sozinho Dairy #2,36.4874,-119.6379,8489 East Elkhorn Avenue,Selma,Fresno,93662,5F
11863,219445,Del Charro,32.9452,-115.3798,3990  Holt Avenue,Brawley,Imperial,92227,7
10198,219568,Delta View Farms Dairy,36.3414,-119.4644,4845 Avenue 304,Visalia,Tulare,93291,5F
10199,219581,Deniz Dairy,38.2884,-122.6135,421 Sonoma Mountain Rd.,Petaluma,Sonoma,94954,2
10200,219582,Former Hidden Valley Dairy,37.5742,-121.1525,8611 Dos Rios Lane,Modesto,Stanislaus,95358,5S
10201,219586,D & D Holsteins Dairy,37.1366,-120.9634,26135 West Malta Road,Gustine,Merced,95322,5S
10202,219588,Dennis Boertje & Son Dairy,36.4691,-119.2768,37404 Road 132,Visalia,Tulare,93292,5F
10203,219699,Deuel Vocational Institute Dairy,37.738411,-121.326153,23500 Kasson Road,Tracy,San Joaquin,95376,5S
10204,220120,Dias and Sons Dairy,36.2263,-119.5939,7594 Kent Avenue,Hanford,Kings,93230,5F
10205,220162,Diamond Point Dairy,40.5846,-124.1889,1312 Pleasant Point Road,Ferndale,Humboldt,95536,1
10206,220164,Diamond R Ranch,40.5239,-124.1741,100 Price Creek Road,Ferndale,Humboldt,95536,1
10207,220186,Bar E Dairy,36.4458,-119.5778,6740 Corona Avenue,Kingsburg,Kings,93631,5F
11761,220188,Dykstra Heifer Ranch,36.1679,-119.4037,7560 Avenue 208,Tulare,Tulare,93274,5F
10208,220233,Capstone Dairy,36.9567,-120.2873,14303 Avenue 14,Madera,Madera,93637,5F
10209,220294,D & M Ag,37.5096,-120.7396,1933 Hall Road,Denair,Stanislaus,95316,5S
10210,220403,DL & A Dairy (rescinded),36.1954,-119.4539,5295 Avenue 224,Tulare,Tulare,93274,5F
10211,220432,JJ's Family Dairy,38.2006,-122.7848,4669 Chileno Valley Road,Petaluma,Sonoma,94952,2
10212,220433,Dolcini Jersey Dairy,38.1045,-122.7212,10049 Pt. Reyes Petaluma,Nicasio,Marin,94946,2
10213,220471,Domingos Ribeiro Dairy,37.1114,-120.316,12718 Avenue 25,Chowchilla,Madera,93610,5F
10214,220511,Donald A. Pedrotti (Pedrotti Dairy),40.7482,-124.1837,5396 Elk River Road,Eureka,Humboldt,95503,1
10215,220555,Doornenbal Dairy #1,37.8254,-121.0758,19116 Lone Tree Road,Escalon,San Joaquin,95320,5S
10216,220556,Doornenbal Dairy #2,37.8138,-121.0518,16348 South Van Allen Road,Escalon,San Joaquin,95320,5S
10217,220560,Dores Dairy,37.3354,-120.9025,22846 West Second Avenue,Stevinson,Merced,95374,5S
10218,220575,Former Dotinga Dairy,37.7228,-120.7954,5737 Crow Road,Oakdale,Stanislaus,95361,5S
10219,220578,Medeiros Holsteins #2,36.4529,-119.7783,19436 East Street,Laton,Fresno,93242,5F
10220,220581,Del-Arco Dairy,36.0704,-119.3908,15506 Road 80,Tipton,Tulare,93272,5F
10221,220588,Double DJ Farms Dairy,37.1378,-120.2789,14768 Avenue 27,Chowchilla,Madera,93610,5F
10222,220597,Double J Dairy,36.3879,-119.4253,6656 Avenue 328,Visalia,Tulare,93291,5F
10223,220599,Double N Dairy,36.394,-119.6851,12700 Everett Avenue,Hanford,Kings,93230,5F
10224,220606,Doug Ielmorini Dairy,38.0835,-122.6939,5720 Nicasio Valley Road,Nicasio,Marin,94946,2
10225,220613,"Bianchini Inc., Bivalve Dairy",38.1006,-122.822,12800 State Hwy 1,Point Reyes Station,Marin,94956,2
10226,220627,Dover Dairy,36.4147,-119.5358,4265 Dover Avenue,Hanford,Kings,93230,5F
10227,220628,Dover Dairy #2,36.4016,-119.5457,4998 Excelsior Avenue,Hanford,Kings,93230,5F
10228,220752,Droogh Dairy,36.3435,-119.8789,23535 Grangeville Boulevard,Lemoore,Kings,93245,5F
10229,220784,Duarte Family Dairy Inc.,38.3281,-121.4162,11807 Bruceville Road,Elk Grove,Sacramento,95757,5S
10230,220904,Dutch Dairy,34.7871,-117.2877,17215 Wild Road,Helendale,San Bernardino,92342,6V
10231,220912,W.J. Dairy #2,37.7426,-120.8307,9161 Warnerville Road,Oakdale,Stanislaus,95361,5S
10232,220914,Dutra & Dutra Dairy,36.3653,-119.5469,7480 5th Avenue,Hanford,Kings,93230,5F
