CADDID,Year,MilkCows,DryCows,OldHeifers,YoungHeifers,OldCalves,YoungCalves,BeefCattle,MilkCowsHerdSizeRefCode,NonMilkingCattleHerdSizeRefCode,LabeledAsDairy
10004,2016,0,0,0,0,3514,789,0,1,1,0
10004,2017,0,0,2224,2276,0,0,0,1,1,0
10004,2018,0,0,0,0,4016,902,0,1,1,0
10004,2019,0,0,0,0,4090,918,0,1,1,0
10004,2020,0,0,0,0,4354,978,0,1,1,0
10004,2021,0,0,0,0,3374,757,0,1,1,0
10004,2022,0,0,0,0,3863,867,0,1,1,0
10004,2023,0,0,0,0,3675,825,0,1,1,0
10005,2012,645,75,72,150,25,0,0,1,1,1
10005,2013,520,62,55,125,32,0,0,1,1,1
10005,2014,550,0,300,0,0,0,0,1,1,1
10005,2015,553,0,298,0,0,0,0,1,1,1
10005,2016,550,0,295,0,0,0,0,1,1,1
10005,2017,0,0,0,0,0,0,0,2a,2e,0
10005,2018,0,0,0,0,0,0,0,2a,2e,0
10005,2019,0,0,0,0,0,0,0,2a,2e,0
10005,2020,0,0,0,0,0,0,0,2a,2e,0
10005,2021,0,0,0,0,0,0,0,2a,2e,0
10005,2022,0,0,0,0,0,0,0,2a,2e,0
10005,2023,0,0,0,0,0,0,0,2a,2e,0
10006,2012,1210,340,690,444,178,12,0,1,1,1
10006,2013,1300,350,700,450,180,6,0,1,1,1
10006,2014,1340,300,650,425,190,10,0,1,1,1
10006,2015,1334,295,652,420,180,15,0,1,1,1
10006,2016,1325,295,650,420,175,10,0,1,1,1
10006,2017,1300,437,705,650,300,17,0,1,1,1
10006,2018,1300,430,425,660,300,30,0,1,1,1
10006,2019,1154,385,225,460,300,30,0,1,1,1
10006,2020,1100,360,225,460,300,30,0,1,1,1
10006,2021,1100,320,210,430,280,25,0,1,1,1
10006,2022,1200,290,210,430,280,25,0,1,1,1
10006,2023,1212,275,210,430,280,30,0,1,1,1
10007,2012,460,46,41,0,0,0,0,1,1,1
10007,2013,500,45,40,0,0,0,0,1,1,1
10007,2014,490,40,35,0,0,0,0,1,1,1
10007,2015,485,42,30,0,0,0,0,1,1,1
10007,2016,503,40,78,0,0,0,0,1,1,1
10007,2017,508,37,83,0,0,0,0,1,1,1
10007,2018,511,34,83,0,0,0,0,1,1,1
10007,2019,506,32,79,0,0,0,0,1,1,1
10007,2020,502,34,365,0,0,0,0,1,1,1
10007,2021,499,36,371,0,0,0,0,1,1,1
10007,2022,490,53,409,0,0,0,0,1,1,1
10007,2023,497,45,97,0,0,0,0,1,1,1
10008,2012,1268,319,112,126,0,0,0,1,1,1
10008,2013,1244,186,102,112,0,0,0,1,1,1
10008,2014,1070,130,0,0,0,0,0,1,1,1
10008,2015,1385,180,0,0,0,0,0,1,1,1
10008,2016,1245,100,0,0,0,0,0,1,1,1
10008,2017,0,0,0,0,0,0,0,1,1,0
10008,2018,0,177,643,0,0,0,0,1,1,0
10008,2019,0,0,150,1500,0,0,0,1,1,0
10008,2020,0,0,800,2000,0,0,0,1,1,0
10008,2021,0,0,750,2050,0,0,0,1,1,0
10008,2022,0,0,739,2021,0,0,0,1,1,0
10008,2023,0,0,722,2006,0,0,0,1,1,0
10009,2012,868,150,0,0,0,0,0,1,1,1
10009,2013,873,150,0,0,0,0,0,1,1,1
10009,2014,924,83,116,0,0,0,0,3a,3a,1
10009,2015,975,15,232,0,0,0,0,1,1,1
10009,2016,797,86,107,108,48,0,0,1,1,1
10009,2017,834,84,212,143,70,68,0,1,1,1
10009,2018,834,84,212,143,70,68,0,1,1,1
10009,2019,880,145,168,0,0,0,0,1,1,1
10009,2020,599,68,365,146,0,0,0,1,1,1
10009,2021,601,70,375,151,0,0,0,1,1,1
10009,2022,606,66,367,158,0,0,0,1,1,1
10009,2023,585,58,390,175,0,0,0,1,1,1
10010,2012,1000,150,417,417,417,0,0,1,1,1
10010,2013,1315,187,454,394,297,0,0,1,1,1
10010,2014,1318,160,450,380,200,0,0,1,1,1
10010,2015,1310,165,428,385,210,310,0,1,1,1
10010,2016,1302,157,438,369,225,0,0,1,1,1
10010,2017,1368,126,597,317,185,342,0,1,1,1
10010,2018,1368,126,371,460,254,345,0,1,1,1
10010,2019,1365,129,375,450,255,360,0,1,1,1
10010,2020,1365,129,375,450,255,360,0,1,1,1
10010,2021,1372,120,370,455,252,369,0,1,1,1
10010,2022,1344,101,444,375,194,0,0,1,1,1
10010,2023,1338,100,439,381,192,0,0,1,1,1
10011,2012,907,177,450,300,70,0,0,1,1,1
10011,2013,907,177,450,300,70,0,0,1,1,1
10011,2014,925,180,450,300,70,0,0,1,1,1
10011,2015,920,175,450,300,70,0,0,1,1,1
10011,2016,930,160,430,300,100,0,0,1,1,1
10011,2017,915,150,420,300,100,0,0,1,1,1
10011,2018,900,130,400,300,100,0,0,1,1,1
10011,2019,895,125,400,300,120,0,0,1,1,1
10011,2020,885,120,400,300,130,0,0,1,1,1
10011,2021,878,115,350,300,150,0,0,1,1,1
10011,2022,865,100,350,300,150,0,0,1,1,1
10011,2023,850,100,350,300,150,0,0,1,1,1
11902,2012,0,0,0,0,0,0,0,2a,3g,0
11902,2013,0,0,0,0,0,0,0,2a,3g,0
11902,2014,0,0,0,0,0,0,0,2a,2e,0
11902,2015,0,0,0,0,0,0,0,2a,2e,0
11902,2016,0,0,0,0,0,0,0,2a,2e,0
11902,2017,0,0,0,0,0,0,0,2a,2e,0
11902,2018,0,0,0,0,0,0,0,2a,2e,0
11902,2019,0,0,0,0,0,0,0,2a,2e,0
11902,2020,0,0,0,0,0,0,0,2a,2e,0
11902,2021,0,0,0,0,0,0,0,2a,2e,0
11902,2022,0,0,0,0,0,0,0,2a,2e,0
11902,2023,0,0,0,0,0,0,0,2a,2e,0
10012,2012,750,50,75,0,0,0,0,1,1,1
10012,2013,0,0,0,0,0,0,0,2b,2b,0
10012,2014,0,0,0,0,0,0,0,2b,2b,0
10012,2015,380,80,0,90,0,35,0,1,1,1
10012,2016,600,100,100,180,70,120,0,1,1,1
10012,2017,550,97,100,180,90,100,0,1,1,1
10012,2018,500,88,90,176,80,97,0,1,1,1
10012,2019,500,80,92,168,80,95,0,1,1,1
10012,2020,515,75,95,170,78,98,0,1,1,1
10012,2021,510,80,102,184,75,90,0,1,1,1
10012,2022,506,78,99,180,72,86,0,1,1,1
10012,2023,500,75,105,175,70,5,0,1,1,1
10013,2012,1446,199,660,649,241,237,0,1,1,1
10013,2013,1407,26,660,600,227,0,0,1,1,1
10013,2014,1500,150,350,300,120,200,0,1,1,1
10013,2015,1510,204,384,492,191,284,0,1,1,1
10013,2016,1445,195,385,490,185,288,0,1,1,1
10013,2017,1439,189,402,394,192,0,0,1,1,1
10013,2018,1421,186,600,691,362,0,0,1,1,1
10013,2019,1412,181,589,683,351,0,0,1,1,1
10013,2020,1389,179,582,674,342,0,0,1,1,1
10013,2021,1386,172,579,671,340,0,0,1,1,1
10013,2022,1353,151,561,662,332,0,0,1,1,1
10013,2023,1348,156,565,660,337,0,0,1,1,1
10014,2012,65,12,15,12,6,5,0,1,1,1
10014,2013,69,15,17,15,15,8,0,1,1,1
10014,2014,68,11,22,20,11,10,0,1,1,1
10014,2015,70,5,20,20,20,10,0,1,1,1
10014,2016,72,10,15,15,15,10,0,1,1,1
10014,2017,72,12,18,18,16,12,0,1,1,1
10014,2018,70,12,18,16,16,12,0,1,1,1
10014,2019,72,10,20,15,15,12,0,1,1,1
10014,2020,71,10,20,15,15,15,0,1,1,1
10014,2021,70,10,15,15,15,15,0,1,1,1
10014,2022,50,10,20,18,15,15,0,1,1,1
10014,2023,60,10,20,20,15,15,0,1,1,1
10015,2012,800,170,165,364,170,0,0,1,1,1
10015,2013,800,170,165,364,170,0,0,1,1,1
10015,2014,800,170,165,364,170,0,0,1,1,1
10015,2015,800,170,165,364,170,0,0,1,1,1
10015,2016,800,170,165,364,170,0,0,1,1,1
10015,2017,783,168,165,280,130,0,0,1,1,1
10015,2018,850,180,160,147,99,180,0,1,1,1
10015,2019,835,665,265,118,115,169,0,1,1,1
10015,2020,835,665,360,293,115,169,0,1,1,1
10015,2021,840,160,265,79,100,140,0,1,1,1
10015,2022,821,160,300,132,103,156,0,1,1,1
10015,2023,790,144,295,300,140,109,0,1,1,1
10016,2012,3367,581,1228,1127,432,363,0,1,1,1
10016,2013,3580,602,1280,1180,450,370,0,1,1,1
10016,2014,3570,612,1275,1180,465,375,0,1,1,1
10016,2015,3967,526,986,784,782,0,0,1,1,1
10016,2016,3909,521,936,770,778,0,0,1,1,1
10016,2017,3983,528,988,791,784,0,0,1,1,1
10016,2018,3981,530,987,781,789,0,0,1,1,1
10016,2019,3987,525,986,784,780,0,0,1,1,1
10016,2020,3987,523,983,784,787,0,0,1,1,1
10016,2021,3995,523,983,784,787,0,0,1,1,1
10016,2022,3994,531,984,778,786,0,0,1,1,1
10016,2023,3995,534,983,788,772,0,0,1,1,1
10017,2012,935,153,145,0,0,0,0,1,1,1
10017,2013,980,159,150,0,0,0,0,1,1,1
10017,2014,1018,122,236,570,120,0,0,1,1,1
10017,2015,1015,126,240,555,125,0,0,1,1,1
10017,2016,1042,92,245,0,112,0,0,1,1,1
10017,2017,875,105,195,0,60,0,0,1,1,1
10017,2018,995,98,210,0,105,0,0,1,1,1
10017,2019,1000,96,228,0,107,0,0,1,1,1
10017,2020,960,125,248,100,195,0,0,1,1,1
10017,2021,980,128,245,0,0,0,0,1,1,1
10017,2022,922,108,230,0,0,120,0,1,1,1
10017,2023,780,90,232,0,0,120,0,1,1,1
10018,2012,1522,680,850,800,795,820,0,1,1,1
10018,2013,1522,680,850,800,795,820,0,1,1,1
10018,2014,1522,680,850,800,795,820,0,1,1,1
10018,2015,1522,680,850,800,795,820,0,1,1,1
10018,2016,1522,680,850,800,795,820,0,1,1,1
10018,2017,1522,680,850,800,795,820,0,1,1,1
10018,2018,1522,680,850,800,795,820,0,1,1,1
10018,2019,1522,680,850,800,795,820,0,1,1,1
10018,2020,1475,550,1200,1200,600,600,0,1,1,1
10018,2021,1475,550,1200,1200,600,600,0,1,1,1
10018,2022,1000,600,1200,1200,600,600,0,1,1,1
10018,2023,1400,600,1200,1200,600,0,0,1,1,1
10019,2012,2000,0,345,255,0,0,0,1,1,1
10019,2013,2000,0,345,255,0,0,0,1,1,1
10019,2014,2000,0,345,255,0,0,0,1,1,1
10019,2015,2000,0,345,255,0,0,0,1,1,1
10019,2016,2000,0,345,255,0,0,0,3a,3a,1
10019,2017,2000,0,345,255,0,0,0,1,1,1
10019,2018,2000,0,345,255,0,0,0,1,1,1
10019,2019,2000,0,0,0,0,0,0,1,1,1
10019,2020,2000,0,345,255,0,0,0,1,1,1
10019,2021,1800,0,345,255,0,0,0,1,1,1
10019,2022,0,0,0,0,0,0,0,2a,2a,0
10019,2023,0,0,0,0,0,0,0,2a,2a,0
10020,2012,0,0,237,243,0,0,0,1,1,0
10020,2013,0,0,232,238,0,0,0,1,1,0
10020,2014,0,0,205,210,0,0,0,2c,3a,0
10020,2015,0,0,178,182,0,0,0,2c,3a,0
10020,2016,0,0,150,154,0,0,0,2c,3a,0
10020,2017,0,0,123,126,0,0,0,1,1,0
10020,2018,0,0,0,0,0,0,0,1,1,0
10020,2019,0,0,0,0,0,0,0,2a,2c,0
10020,2020,0,0,0,0,0,0,0,2a,2c,0
10020,2021,0,0,0,0,0,0,0,2a,2c,0
10020,2022,0,0,0,0,0,0,0,2a,2c,0
10020,2023,0,0,0,0,0,0,0,2a,2c,0
10021,2012,1700,350,350,200,200,0,0,1,1,1
10021,2013,1700,350,350,200,200,0,0,1,1,1
10021,2014,1100,200,300,100,100,0,0,1,1,1
10021,2015,850,100,300,0,250,0,0,1,1,1
10021,2016,850,100,300,8,250,0,0,1,1,1
10021,2017,1200,150,200,0,300,0,0,1,1,1
10021,2018,1200,150,200,0,300,0,0,1,1,1
10021,2019,1200,150,200,0,300,0,0,1,1,1
10021,2020,1200,150,200,0,300,0,0,1,1,1
10021,2021,1400,300,200,0,300,0,0,1,1,1
10021,2022,1400,300,200,0,300,0,0,1,1,1
10021,2023,1400,300,200,0,300,0,0,1,1,1
10022,2012,480,100,0,0,0,0,0,1,1,1
10022,2013,405,0,52,38,0,0,0,1,1,1
10022,2014,646,0,0,0,0,0,0,1,1,1
10022,2015,627,0,0,0,0,0,0,1,1,1
10022,2016,651,0,0,0,0,0,0,1,1,1
10022,2017,646,0,0,0,0,0,0,1,1,1
10022,2018,644,0,0,0,0,0,0,1,1,1
10022,2019,685,0,0,0,0,0,0,1,1,1
10022,2020,650,0,0,0,0,0,0,1,1,1
10022,2021,350,100,0,0,0,0,0,1,1,1
10022,2022,250,100,0,0,0,0,0,1,1,1
10022,2023,0,0,124,126,0,0,0,1,1,0
10023,2012,600,125,0,0,0,0,0,1,1,1
10023,2013,590,100,0,0,0,0,0,1,1,1
10023,2014,595,125,0,0,0,0,0,1,1,1
10023,2015,570,120,0,0,0,0,0,1,1,1
10023,2016,580,150,0,0,0,0,0,1,1,1
10023,2017,590,150,0,0,0,0,0,1,1,1
10023,2018,570,150,0,0,0,0,0,1,1,1
10023,2019,0,0,0,0,0,0,0,2a,2e,0
10023,2020,0,0,0,0,0,0,0,2a,2e,0
10023,2021,0,0,0,0,0,0,0,2a,2e,0
10023,2022,0,0,0,0,0,0,0,2a,2e,0
10023,2023,0,0,0,0,0,0,0,2a,2e,0
10024,2012,580,110,40,30,0,0,0,1,1,1
10024,2013,380,0,0,0,0,0,0,1,1,1
10024,2014,342,0,66,48,0,0,0,1,1,1
10024,2015,291,0,0,0,0,0,0,1,1,1
10024,2016,343,0,0,0,0,0,0,3a,2c,1
10024,2017,395,0,0,0,0,0,0,1,1,1
10024,2018,669,0,0,0,0,0,0,1,1,1
10024,2019,660,0,0,0,0,0,0,1,1,1
10024,2020,652,0,0,0,0,0,0,1,1,1
10024,2021,0,0,0,0,0,0,0,2a,2a,0
10024,2022,0,0,0,0,0,0,0,2a,2a,0
10024,2023,0,0,0,0,0,0,0,2a,2a,0
10025,2012,449,48,195,145,38,38,0,1,1,1
10025,2013,385,75,205,143,110,47,0,1,1,1
10025,2014,464,85,154,106,48,65,0,1,1,1
10025,2015,430,161,126,105,98,52,0,1,1,1
10025,2016,430,155,120,100,90,50,0,1,1,1
10025,2017,430,155,120,100,90,50,0,1,1,1
10025,2018,430,155,120,100,90,50,0,3a,3a,1
10025,2019,430,155,120,100,90,50,0,3a,3a,1
10025,2020,0,0,0,0,0,0,0,2e,2e,0
10025,2021,0,0,0,0,0,0,0,2a,2e,0
10025,2022,0,0,0,0,0,0,0,2a,2e,0
10025,2023,0,0,0,0,0,0,0,2a,2e,0
10026,2012,1844,256,418,299,175,108,0,1,1,1
10026,2013,1844,256,418,299,175,108,0,1,1,1
10026,2014,1844,256,418,299,175,108,0,1,1,1
10026,2015,1203,167,627,448,262,163,0,1,1,1
10026,2016,1203,167,627,448,262,163,0,1,1,1
10026,2017,1317,183,597,427,250,156,0,1,1,1
10026,2018,1317,183,597,427,250,156,0,1,1,1
10026,2019,1317,183,606,433,253,158,0,1,1,1
10026,2020,1624,226,646,462,270,168,0,1,1,1
10026,2021,2031,282,686,491,287,178,0,1,1,1
10026,2022,2130,296,701,501,293,182,0,1,1,1
10026,2023,1808,251,1027,758,407,193,0,1,1,1
10027,2012,921,180,155,225,200,0,0,1,1,1
10027,2013,905,150,300,225,130,150,0,1,1,1
10027,2014,905,150,300,225,130,150,0,1,1,1
10027,2015,925,120,550,500,280,0,0,1,1,1
10027,2016,950,130,600,550,300,0,0,1,1,1
10027,2017,950,130,600,550,300,0,0,1,1,1
10027,2018,1010,150,620,560,300,0,0,1,1,1
10027,2019,1080,165,650,570,315,0,0,1,1,1
10027,2020,925,155,650,580,310,0,0,1,1,1
10027,2021,925,155,760,600,400,0,0,1,1,1
10027,2022,940,140,700,610,425,0,0,1,1,1
10027,2023,940,140,750,610,430,0,0,1,1,1
10028,2012,0,0,0,0,0,0,0,1,1,0
10028,2013,0,0,0,0,0,0,0,2a,2c,0
10028,2014,0,0,0,0,0,0,0,2a,2c,0
10028,2015,0,0,0,0,0,0,0,2a,2c,0
10028,2016,0,0,0,0,0,0,0,2a,2c,0
10028,2017,0,0,0,0,0,0,0,2a,2c,0
10028,2018,0,0,0,0,0,0,0,2a,2c,0
10028,2019,0,0,0,0,0,0,0,2a,2c,0
10028,2020,0,0,0,0,0,0,0,2a,2c,0
10028,2021,0,0,0,0,0,0,0,2a,2c,0
10028,2022,0,0,0,0,0,0,0,2a,2c,0
10028,2023,0,0,0,0,0,0,0,2a,2c,0
10029,2012,0,0,369,141,44,0,0,1,1,0
10029,2013,0,0,376,142,47,0,0,1,1,0
10029,2014,0,0,282,169,0,0,0,1,1,0
10029,2015,0,0,2,0,0,0,0,1,1,0
10029,2016,0,0,100,0,0,0,0,1,1,0
10029,2017,0,0,8,0,0,0,0,1,1,0
10029,2018,0,0,0,0,0,0,0,1,1,0
10029,2019,0,0,0,0,0,0,0,2b,2b,0
10029,2020,0,0,0,0,0,0,0,2b,2b,0
10029,2021,0,0,0,0,0,0,0,2b,2b,0
10029,2022,0,0,0,0,0,0,0,2b,2b,0
10029,2023,0,0,0,0,0,0,0,2b,2b,0
10030,2012,879,156,276,276,138,0,0,1,1,1
10030,2013,887,162,284,283,144,0,0,1,1,1
10030,2014,890,165,280,285,148,0,0,1,1,1
10030,2015,895,160,286,290,150,0,0,1,1,1
10030,2016,921,156,277,307,157,0,0,1,1,1
10030,2017,928,145,282,296,151,0,0,1,1,1
10030,2018,788,146,268,281,142,0,0,1,1,1
10030,2019,792,138,280,284,139,0,0,1,1,1
10030,2020,855,132,295,301,149,0,0,1,1,1
10030,2021,875,140,305,305,155,0,0,1,1,1
10030,2022,870,135,301,303,153,0,0,1,1,1
10030,2023,865,130,290,295,145,0,0,1,1,1
10031,2012,750,120,200,100,0,0,0,1,1,1
10031,2013,0,0,0,0,0,0,0,2a,2e,0
10031,2014,0,0,0,0,0,0,0,2a,2e,0
10031,2015,0,0,0,0,0,0,0,2a,2e,0
10031,2016,0,0,0,0,0,0,0,2a,2e,0
10031,2017,0,0,0,0,0,0,0,2a,2e,0
10031,2018,0,0,0,0,0,0,0,2a,2e,0
10031,2019,0,0,0,0,0,0,0,2a,2e,0
10031,2020,0,0,0,0,0,0,0,2a,2e,0
10031,2021,0,0,0,0,0,0,0,2a,2e,0
10031,2022,0,0,0,0,0,0,0,2a,2e,0
10031,2023,0,0,0,0,0,0,0,2a,2e,0
10032,2012,0,0,0,0,0,0,0,1,1,0
10032,2013,0,0,0,0,0,0,0,1,1,0
10032,2014,0,0,0,0,0,0,0,2a,2c,0
10032,2015,0,0,0,0,0,0,0,2a,2c,0
10032,2016,0,0,0,0,0,0,0,2a,2c,0
10032,2017,0,0,0,0,0,0,0,2a,2c,0
10032,2018,0,0,0,0,0,0,0,2a,2c,0
10032,2019,0,0,0,0,0,0,0,2a,2c,0
10032,2020,0,0,0,0,0,0,0,2a,2c,0
10032,2021,0,0,0,0,0,0,0,2a,2c,0
10032,2022,0,0,0,0,0,0,0,2a,2c,0
10032,2023,0,0,0,0,0,0,0,2a,2c,0
10033,2012,1505,265,725,578,218,220,0,1,1,1
10033,2013,1275,100,300,475,200,200,0,1,1,1
10033,2014,1300,185,94,586,300,1125,0,1,1,1
10033,2015,1400,125,100,600,4400,13000,0,1,1,1
10033,2016,1848,182,540,431,195,342,0,1,1,1
10033,2017,1833,175,126,0,0,15600,0,1,1,1
10033,2018,1321,117,0,0,0,0,0,1,1,1
10033,2019,45,0,0,0,0,0,0,1,1,1
10033,2020,0,0,0,0,0,0,0,1,1,0
10033,2021,0,0,0,0,0,0,0,1,1,0
10033,2022,0,0,0,0,0,0,0,1,1,0
10033,2023,0,0,0,0,0,0,0,1,1,0
10034,2012,450,60,95,60,25,20,0,1,1,1
10034,2013,0,0,500,0,0,0,0,1,1,0
10034,2014,0,0,0,0,0,0,0,1,1,0
10034,2015,0,0,650,0,0,0,0,1,1,0
10034,2016,0,0,600,0,0,0,0,1,1,0
10034,2017,0,0,600,0,0,0,0,1,1,0
10034,2018,0,0,600,0,0,0,0,1,1,0
10034,2019,0,0,0,500,0,0,0,1,1,0
10034,2020,0,0,0,500,0,0,0,1,1,0
10034,2021,0,0,0,0,0,0,0,1,1,0
10034,2022,0,0,0,0,0,0,0,1,1,0
10034,2023,0,0,0,0,0,0,0,1,1,0
10035,2012,629,54,145,132,43,0,0,3a,3a,1
10035,2013,629,54,145,132,43,0,0,1,1,1
10035,2014,597,0,0,0,0,0,0,1,1,1
10035,2015,600,0,500,0,110,0,0,1,1,1
10035,2016,595,0,665,0,0,135,0,1,1,1
10035,2017,600,0,655,0,0,200,0,1,1,1
10035,2018,590,0,650,0,0,190,0,1,1,1
10035,2019,595,0,652,0,0,195,0,1,1,1
10035,2020,592,0,649,0,0,193,0,1,1,1
10035,2021,580,0,650,0,0,190,0,1,1,1
10035,2022,0,90,800,100,0,0,0,1,1,0
10035,2023,0,0,800,100,0,0,0,1,1,0
10036,2012,1100,160,550,250,120,0,0,1,1,1
10036,2013,1100,160,550,250,120,0,0,1,1,1
10036,2014,1110,145,550,250,120,0,0,1,1,1
10036,2015,1110,145,550,250,120,0,0,1,1,1
10036,2016,1110,145,550,250,120,0,0,1,1,1
10036,2017,1085,130,560,250,140,0,0,1,1,1
10036,2018,1065,130,550,250,140,0,0,1,1,1
10036,2019,1032,125,550,250,150,0,0,1,1,1
10036,2020,1028,128,500,250,150,0,0,1,1,1
10036,2021,1025,120,500,250,150,0,0,1,1,1
10036,2022,1020,115,500,250,150,0,0,1,1,1
10036,2023,1012,110,450,350,150,0,0,1,1,1
10037,2012,883,152,431,366,135,138,0,1,1,1
10037,2013,940,145,440,360,120,0,0,1,1,1
10037,2014,840,125,400,310,100,0,0,1,1,1
10037,2015,845,130,300,310,75,0,0,1,1,1
10037,2016,870,125,280,290,0,0,0,1,1,1
10037,2017,850,120,250,270,0,0,0,1,1,1
10037,2018,815,130,239,282,0,0,0,1,1,1
10037,2019,810,120,230,260,0,0,0,1,1,1
10037,2020,800,110,220,260,0,0,0,1,1,1
10037,2021,975,0,487,755,0,0,0,1,1,1
10037,2022,970,179,414,152,425,102,0,1,1,1
10037,2023,989,214,390,170,438,87,0,1,1,1
10038,2012,920,228,412,84,86,0,0,1,1,1
10038,2013,920,228,412,84,86,0,0,3a,3a,1
10038,2014,0,0,0,0,0,0,0,2a,2e,0
10038,2015,0,0,0,0,0,0,0,2a,2e,0
10038,2016,0,0,0,0,0,0,0,2a,2e,0
10038,2017,0,0,0,0,0,0,0,2a,2e,0
10038,2018,0,0,0,0,0,0,0,2a,2e,0
10038,2019,0,0,0,0,0,0,0,2a,2e,0
10038,2020,0,0,0,0,0,0,0,2a,2e,0
10038,2021,0,0,0,0,0,0,0,2a,2e,0
10038,2022,0,0,0,0,0,0,0,2a,2e,0
10038,2023,0,0,0,0,0,0,0,2a,2e,0
10039,2012,900,132,200,160,200,0,0,1,1,1
10039,2013,910,160,250,150,200,0,0,1,1,1
10039,2014,900,155,300,100,90,90,0,1,1,1
10039,2015,850,110,300,100,90,90,0,1,1,1
10039,2016,900,155,300,100,90,0,0,1,1,1
10039,2017,820,120,250,150,200,0,0,1,1,1
10039,2018,905,158,250,120,170,0,0,1,1,1
10039,2019,905,158,250,120,170,0,0,1,1,1
10039,2020,905,158,250,120,170,0,0,1,1,1
10039,2021,910,153,320,205,89,0,0,1,1,1
10039,2022,905,158,250,150,180,0,0,1,1,1
10039,2023,905,156,250,150,180,0,0,1,1,1
10040,2012,1518,328,372,391,195,195,0,1,1,1
10040,2013,1520,330,375,392,193,191,0,1,1,1
10040,2014,1526,335,388,386,381,0,0,1,1,1
10040,2015,1516,316,368,362,278,0,0,1,1,1
10040,2016,1516,316,368,362,278,0,0,1,1,1
10040,2017,1514,328,377,393,374,0,0,1,1,1
10040,2018,1516,324,386,391,379,0,0,1,1,1
10040,2019,1512,323,366,389,382,0,0,1,1,1
10040,2020,1526,333,378,394,379,0,0,1,1,1
10040,2021,1523,326,377,385,368,0,0,1,1,1
10040,2022,1528,332,389,394,376,0,0,1,1,1
10040,2023,1528,332,389,394,376,0,0,1,1,1
11907,2012,0,0,0,0,0,0,0,2a,3g,0
11907,2013,0,0,0,0,0,0,0,2a,3g,0
11907,2014,0,0,0,0,0,0,0,2a,3g,0
11907,2015,0,0,0,0,0,0,0,2a,3g,0
11907,2016,0,0,0,0,0,0,0,2a,3g,0
11907,2017,0,0,0,0,0,0,0,2a,2e,0
11907,2018,0,0,0,0,0,0,0,2a,2e,0
11907,2019,0,0,0,0,0,0,0,2a,2e,0
11907,2020,0,0,0,0,0,0,0,2a,2e,0
11907,2021,0,0,0,0,0,0,0,2a,2e,0
11907,2022,0,0,0,0,0,0,0,2a,2e,0
11907,2023,0,0,0,0,0,0,0,2a,2e,0
10041,2012,850,124,272,146,140,84,0,1,1,1
10041,2013,850,124,272,146,140,84,0,1,1,1
10041,2014,833,121,267,143,137,82,0,1,1,1
10041,2015,826,119,263,143,136,79,0,1,1,1
10041,2016,828,117,259,141,133,78,0,1,1,1
